date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2010-03-22,0.74588,29.615,1.5429,7.3931,2.068563307770687,0.05209859868309978,0.208694593607553
2010-03-29,0.74212,29.458,1.5253,7.3495,2.0553279793025387,0.0517788037205513,0.2075379277501871
2010-04-05,0.74884,29.353,1.5025,7.2892,2.006436621975322,0.051187272169795246,0.20612687263348514
2010-04-12,0.73681,29.031,1.4822,7.317,2.0116447930945562,0.05105576797216768,0.20256935902692358
2010-04-19,0.74694,29.175,1.4878,7.4519,1.9918601226336787,0.05099571550985433,0.1996537795729948
2010-04-26,0.75273,29.202,1.4864,7.3831,1.9746788357047014,0.05090062324498321,0.20132464682856793
2010-05-03,0.7725,29.872,1.5226,7.5689,1.9710032362459546,0.050970808784145685,0.20116529482487547
2010-05-10,0.78827,30.07,1.5263,7.5058,1.936265492788004,0.050758230794812106,0.2033494097897626
2010-05-17,0.80802,30.804,1.5676,7.7554,1.9400509888369102,0.050889494870796005,0.2021301286845295
2010-05-24,0.81261,31.035,1.575,7.7687,1.9381991361169564,0.05074915418076365,0.20273662260094996
2010-05-31,0.81954,31.119,1.5819,7.6872,1.9302291529394537,0.05083389569073557,0.2057836403371839
2010-06-07,0.83215,31.658,1.5946,7.7508,1.9162410623084782,0.05036957483100638,0.2057336016927285
2010-06-14,0.81274,31.187,1.5677,7.6163,1.9289071535792506,0.05026773976336294,0.20583485419429384
2010-06-21,0.81334,31.027,1.5699,7.5757,1.930189096810682,0.05059786637444806,0.20722837493564952
2010-06-28,0.81057,31.18,1.579,7.6701,1.9480118928655143,0.05064143681847338,0.20586433032163856
2010-07-05,0.79397,31.038,1.5578,7.643,1.9620388679673038,0.05019008956762678,0.20382048933664793
2010-07-12,0.7853,30.62,1.5448,7.5708,1.96714631351076,0.05045068582625734,0.20404712844085168
2010-07-19,0.77682,30.468,1.5303,7.5556,1.9699544295975904,0.050226467113036626,0.20253851447932658
2010-07-26,0.76858,30.237,1.5136,7.3366,1.9693460667724896,0.05005787611204816,0.20630809911948314
2010-08-02,0.75919,29.88,1.4987,7.2683,1.9740776353745437,0.05015729585006693,0.20619677228512856
2010-08-09,0.76935,30.28,1.5087,7.279,1.9610060440631703,0.04982496697490092,0.20726748179695012
2010-08-16,0.77997,30.484,1.5055,7.2856,1.9302024436837313,0.049386563443117704,0.20664049632151094
2010-08-23,0.78945,30.799,1.527,7.3638,1.934258027740832,0.049579531802980616,0.2073657622423205
2010-08-30,0.78333,30.743,1.5179,7.3158,1.9377529266081985,0.04937384119962268,0.20748243527707153
2010-09-06,0.78425,30.818,1.5103,7.2345,1.9257889703538411,0.049007073788045946,0.20876356348054462
2010-09-13,0.77184,30.883,1.4975,7.1295,1.9401689469320067,0.048489460220833475,0.21004277999859738
2010-09-20,0.7542,31.002,1.4898,7.0769,1.9753381066030231,0.048054964195858335,0.21051590385620822
2010-09-27,0.73616,30.512,1.4603,6.9807,1.983672027820039,0.04785985841636077,0.20919105533828986
2010-10-04,0.7227,30.06,1.4304,6.9214,1.9792444997924448,0.04758483033932136,0.20666339179934692
2010-10-11,0.71515,30.057,1.4107,6.8487,1.972593162273649,0.04693415843231195,0.20598069706659658
2010-10-18,0.71875,30.589,1.4251,6.9286,1.9827478260869567,0.04658864297623329,0.20568368790231792
2010-10-25,0.71984,30.576,1.4284,6.9777,1.9843298510780172,0.046716378859236,0.2047092881608553
2010-11-01,0.71139,30.73,1.4082,6.8894,1.9795049129169653,0.0458249267816466,0.20440096379946002
2010-11-08,0.72417,30.689,1.4178,6.883,1.957827581921372,0.04619896379810355,0.20598576202237395
2010-11-15,0.73486,31.113,1.4514,7.0122,1.9750700813760447,0.04664931057757208,0.20698211688200566
2010-11-22,0.74593,31.287,1.4734,7.07,1.9752523695252906,0.04709304183846326,0.2084016973125884
2010-11-29,0.7615,31.394,1.4989,7.0363,1.9683519369665134,0.047744791998471044,0.21302389039694156
2010-12-06,0.75415,31.083,1.4917,6.8996,1.977988463833455,0.047990863172795425,0.2162009391848803
2010-12-13,0.7512,30.731,1.518,6.8262,2.0207667731629395,0.04939637499593244,0.22237848290410478
2010-12-20,0.76249,30.672,1.5539,6.7863,2.0379283662736563,0.05066184141888367,0.22897602522729618
2010-12-27,0.75632,30.436,1.5549,6.6713,2.0558758197588323,0.05108752792745433,0.23307301425509272
2011-01-03,0.75717,30.59,1.5543,6.7194,2.0527754665398787,0.05081072245831971,0.23131529600857217
